exp,plate,genotype,rep,label,pixel,mm
4,A,Col,1,2016pifgi2exp1a_Col.avi:0321-0176-0055:160.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0320-0176-0055:160.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0319-0176-0055:159.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0318-0176-0055:159.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0317-0176-0055:158.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0316-0176-0055:158.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0315-0176-0055:157.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0314-0176-0055:157.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0313-0176-0055:156.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0312-0176-0055:156.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0311-0176-0055:155.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0310-0176-0055:155.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0309-0176-0055:154.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0308-0176-0055:154.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0307-0176-0055:153.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0306-0176-0055:153.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0305-0176-0055:152.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0304-0176-0055:152.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0303-0176-0055:151.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0302-0176-0055:151.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0301-0176-0055:150.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0300-0176-0055:150.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0299-0176-0055:149.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0298-0176-0055:149.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0297-0176-0055:148.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0296-0176-0055:148.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0295-0176-0055:147.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0294-0176-0055:147.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0293-0176-0055:146.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0292-0176-0055:146.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0291-0176-0055:145.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0290-0176-0055:145.00 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0289-0176-0055:144.50 s,47.008,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0288-0177-0055:144.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0287-0177-0055:143.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0286-0177-0055:143.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0285-0177-0055:142.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0284-0177-0055:142.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0283-0177-0055:141.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0282-0177-0055:141.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0281-0177-0055:140.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0280-0177-0055:140.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0279-0177-0055:139.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0278-0177-0055:139.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0277-0177-0055:138.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0276-0177-0055:138.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0275-0177-0055:137.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0274-0177-0055:137.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0273-0177-0055:136.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0272-0177-0055:136.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0271-0177-0055:135.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0270-0177-0055:135.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0269-0177-0055:134.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0268-0177-0055:134.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0267-0177-0055:133.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0266-0177-0055:133.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0265-0177-0055:132.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0264-0177-0055:132.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0263-0177-0055:131.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0262-0177-0055:131.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0261-0177-0055:130.50 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0260-0177-0055:130.00 s,45.042,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0259-0178-0055:129.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0258-0178-0055:129.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0257-0178-0055:128.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0256-0178-0055:128.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0255-0178-0055:127.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0254-0178-0055:127.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0253-0178-0055:126.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0252-0178-0055:126.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0251-0178-0055:125.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0250-0178-0055:125.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0249-0178-0055:124.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0248-0178-0055:124.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0247-0178-0055:123.50 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0246-0178-0055:123.00 s,42.895,
4,A,Col,1,2016pifgi2exp1a_Col.avi:0245-0178-0055:122.50 s,42.895,
